Liquid_Type,pH_Level,Flammability,Toxicity_Score,Reactivity,Corrosiveness,Viscosity,Container_Intact,Recommended_Treatment
Industrial_Cleaner,11.8,2.7,8.4,0,1.1,7.8,0,Chemical Neutralization
Oil,7,0,1.9,1,3.2,8.1,0,Oil Recovery & Re-refining
Fuel_Residue,6.6,8.1,3.9,0.7,5.3,6.5,1,Solvent Recovery & Controlled Incineration
Pharmaceutical_Liquid,5.4,5.8,6.8,5.8,1.2,5.2,1,Hazardous Liquid Treatment Plant
Pesticide,6,4.8,10,4.7,3,4.3,0,Secure Toxic Chemical Disposal
Industrial_Cleaner,8.7,3.9,5.9,6.1,1.4,4.4,1,Secure Liquid Waste Landfill
Laboratory_Chemical,8.6,0.5,9.2,9.8,0,5.4,1,Advanced Hazardous Chemical Treatment Facility
Solvent,7.5,10,1.5,0.4,4,5.6,0,Solvent Recovery & Controlled Incineration
Industrial_Cleaner,11.6,5.4,7.8,4.7,3.3,2.6,1,Chemical Neutralization
Fuel_Residue,8.5,6.8,2.5,0.7,4.5,7.5,1,Secure Liquid Waste Landfill
Fuel_Residue,8.6,10,3.5,1.5,1.2,3.4,1,Solvent Recovery & Controlled Incineration
Pharmaceutical_Liquid,8.8,2.5,6.4,4.1,8.5,5.2,0,Hazardous Liquid Treatment Plant
Pesticide,4.2,2.9,6.4,5,3.1,4.7,1,Secure Toxic Chemical Disposal
Oil,6.6,4.4,4.9,2.9,1.3,6.7,1,Oil Recovery & Re-refining
Pharmaceutical_Liquid,5.1,2,5.4,3.2,4.3,8.5,1,Secure Liquid Waste Landfill
Pharmaceutical_Liquid,7.5,1.4,6.1,3.1,4.7,7.1,0,Hazardous Liquid Treatment Plant
Solvent,5.1,10,5.8,1.8,3.6,5.5,1,Solvent Recovery & Controlled Incineration
Liquid_Paint,8,10,5.1,5.3,4.9,6.3,0,Solvent Recovery & Controlled Incineration
Pesticide,4.7,0,9.4,1.3,2.9,3.9,1,Secure Toxic Chemical Disposal
Alkali,13.7,0,3.1,5.2,7.8,2.8,0,Chemical Neutralization
Pharmaceutical_Liquid,5.5,3.4,4.1,1.7,7.3,6.3,1,Secure Liquid Waste Landfill
Disinfectant,2.9,3.4,2.7,4.7,1.4,4.8,1,Chemical Neutralization
Liquid_Paint,8,9.8,1.6,2.3,2.1,3.7,1,Solvent Recovery & Controlled Incineration
Alkali,12.6,5.5,4.8,6.3,5.4,8.7,0,Chemical Neutralization
Disinfectant,6.5,6.7,4,1.1,0.4,4.8,1,Secure Liquid Waste Landfill
Pesticide,3,0.4,10,5.6,2.7,4.1,1,Secure Toxic Chemical Disposal
Acid,6.2,3,2,3.9,9.2,3.8,1,Secure Liquid Waste Landfill
Disinfectant,7.2,4.3,7.2,0.5,7.3,1.1,1,Hazardous Liquid Treatment Plant
Laboratory_Chemical,6.7,4.2,7.6,7.4,2.6,4,1,Chemical Stabilization
Liquid_Paint,5.8,10,4.7,1.6,4.8,5.6,1,Solvent Recovery & Controlled Incineration
Disinfectant,5.7,4.8,5.1,1.6,0,2.6,1,Secure Liquid Waste Landfill
Automotive_Fluid,5.7,5.3,7.1,2.1,2.2,5.5,1,Oil Recovery & Re-refining
Acid,4,4.9,3,4.9,9.2,6.7,1,Secure Liquid Waste Landfill
Fuel_Residue,6.5,6.4,7.8,5.1,0,4.1,1,Hazardous Liquid Treatment Plant
Fuel_Residue,9.3,8.7,5.2,4.3,3,3.2,1,Solvent Recovery & Controlled Incineration
Laboratory_Chemical,2.8,6.5,6.6,8.8,4.2,7.7,0,Chemical Neutralization
Disinfectant,6.1,3.4,5.1,4.7,5.3,4,1,Secure Liquid Waste Landfill
Disinfectant,5.7,5.7,0,6.1,2.4,5,1,Secure Liquid Waste Landfill
Solvent,5.6,7.7,6.5,4.5,4,5.2,1,Solvent Recovery & Controlled Incineration
Disinfectant,8.4,2.2,4.4,3,3.2,3.5,0,Secure Liquid Waste Landfill
Industrial_Cleaner,10.2,4,10,4.9,7.3,3.5,1,Hazardous Liquid Treatment Plant
Oil,11.4,1.4,2.3,1.8,0,8.1,1,Chemical Neutralization
Automotive_Fluid,3.2,3.7,5.1,4.9,4.5,8,1,Oil Recovery & Re-refining
Solvent,8.4,7.5,3.9,2.4,3.6,2.8,0,Solvent Recovery & Controlled Incineration
Pesticide,6.8,5.5,6.3,1.8,3,5.1,1,Secure Toxic Chemical Disposal
Solvent,6.4,4.5,1.3,4.1,5.1,8.1,1,Secure Liquid Waste Landfill
Industrial_Cleaner,10.8,1.5,10,3.2,5.4,5.1,1,Hazardous Liquid Treatment Plant
Pesticide,6.5,4.9,9.6,5.7,1.1,6.4,1,Secure Toxic Chemical Disposal
Automotive_Fluid,3.5,5.9,5.8,2.7,3.4,0.7,1,Oil Recovery & Re-refining
Industrial_Cleaner,8.5,5.7,8.9,3.7,3,6.6,1,Hazardous Liquid Treatment Plant
Alkali,10.4,3.8,6.2,0.1,7.1,4.8,1,Hazardous Liquid Treatment Plant
Oil,4.8,4,5.5,2.4,7.1,7.7,1,Oil Recovery & Re-refining
Automotive_Fluid,5.9,1.4,3.8,0.9,1.9,2.6,1,Oil Recovery & Re-refining
Disinfectant,10.9,3.1,2.6,3.4,2.8,4.6,0,Secure Liquid Waste Landfill
Alkali,13.1,4.5,2.9,1.8,7.6,0.4,0,Chemical Neutralization
Laboratory_Chemical,10.3,2.5,9,7.8,9.2,7.2,1,Advanced Hazardous Chemical Treatment Facility
Automotive_Fluid,3.8,3.4,2.5,0.2,1.7,2.8,1,Oil Recovery & Re-refining
Laboratory_Chemical,10.4,4.8,8.5,10,3.2,3.3,1,Advanced Hazardous Chemical Treatment Facility
Pesticide,4.9,2.6,7,0.2,4.9,8.8,1,Secure Toxic Chemical Disposal
Alkali,10.5,3.3,3.3,2.5,6.6,3.7,1,Secure Liquid Waste Landfill
Oil,5.3,1.9,0,4.4,3.8,9.6,1,Oil Recovery & Re-refining
Disinfectant,5.8,4.5,5,1,3.2,6.5,0,Secure Liquid Waste Landfill
Disinfectant,3.7,4.1,2.7,4.1,1.5,1.4,1,Secure Liquid Waste Landfill
Industrial_Cleaner,6.1,3.1,7.5,1.2,4.3,1.7,1,Hazardous Liquid Treatment Plant
Disinfectant,5.7,3.1,2.3,2.2,5,3.8,0,Secure Liquid Waste Landfill
Pharmaceutical_Liquid,8.7,0.7,5.1,5.9,0,3.4,0,Secure Liquid Waste Landfill
Solvent,8.2,7.7,4.7,1.8,3.2,4.7,1,Solvent Recovery & Controlled Incineration
Acid,1.3,3.2,2.8,4.2,8.4,4.4,1,Chemical Neutralization
Oil,2.6,3.7,3.5,4.9,2.5,10,1,Chemical Neutralization
Alkali,7.4,2.3,4,6.4,9.3,4.6,1,Secure Liquid Waste Landfill
Pharmaceutical_Liquid,7.5,4.5,1,5.3,3.7,4.2,1,Secure Liquid Waste Landfill
Oil,8.3,7.5,4.4,3.5,2.1,6.8,1,Oil Recovery & Re-refining
Alkali,13.5,3.8,3.3,4.7,10,4.1,1,Chemical Neutralization
Liquid_Paint,8.9,9.6,6.8,5,0,5.6,1,Solvent Recovery & Controlled Incineration
Liquid_Paint,3.4,10,5.3,2.9,3.6,2.7,0,Solvent Recovery & Controlled Incineration
Laboratory_Chemical,6.6,3.1,10,8.5,3.4,5.9,1,Advanced Hazardous Chemical Treatment Facility
Oil,4.3,6.8,4.4,3.2,2.8,9.8,1,Oil Recovery & Re-refining
Liquid_Paint,7.1,10,0.6,6.1,2.7,4.1,1,Solvent Recovery & Controlled Incineration
Alkali,13.1,0,3.5,4.3,10,3.4,1,Chemical Neutralization
Laboratory_Chemical,4.7,2.7,8.1,5.1,4.6,4.7,1,Hazardous Liquid Treatment Plant
Disinfectant,5,4,2.4,2.7,3,5.3,0,Secure Liquid Waste Landfill
Alkali,9.2,3.3,2.4,4.3,6.9,5.3,1,Secure Liquid Waste Landfill
Laboratory_Chemical,12.1,0.8,10,2.8,0,2.5,1,Chemical Neutralization
Oil,7.6,2.5,3.7,4.1,4.7,6.2,0,Oil Recovery & Re-refining
Pharmaceutical_Liquid,8.9,5.5,5.4,0.7,2,6,0,Secure Liquid Waste Landfill
Industrial_Cleaner,8.2,4.4,6.3,2.3,4.4,5.9,1,Hazardous Liquid Treatment Plant
Disinfectant,4.8,4.2,5.2,2.4,3.7,2.5,1,Secure Liquid Waste Landfill
Automotive_Fluid,8.8,2.6,3,5.1,1.6,2.2,1,Oil Recovery & Re-refining
Pharmaceutical_Liquid,3.9,4.2,1.4,6.5,0,8.4,1,Secure Liquid Waste Landfill
Pesticide,7.4,2.8,8.7,3.8,2.9,7.2,1,Secure Toxic Chemical Disposal
Alkali,11.8,5.7,8.3,4.3,8.7,4.2,1,Chemical Neutralization
Pesticide,4.4,3.2,6.4,4.1,7,6.4,1,Secure Toxic Chemical Disposal
Pharmaceutical_Liquid,7.5,5,7.3,5,0,2.4,1,Hazardous Liquid Treatment Plant
Laboratory_Chemical,5.8,3.1,8.8,6,3.4,3.5,1,Hazardous Liquid Treatment Plant
Automotive_Fluid,5.2,0.3,2,5.1,1.1,10,0,Oil Recovery & Re-refining
Disinfectant,8,3.4,2.3,4.4,1.8,5.2,1,Secure Liquid Waste Landfill
Disinfectant,12.1,2.8,6.3,1.6,2.9,8.5,1,Chemical Neutralization
Disinfectant,5.7,6.6,5.4,1.9,4.3,6.9,1,Secure Liquid Waste Landfill
Automotive_Fluid,8.2,0,2.5,2.5,2.9,6.2,0,Oil Recovery & Re-refining
Acid,2.3,0.3,4.8,4.2,10,7.2,0,Chemical Neutralization
Automotive_Fluid,6.9,0,4.9,3.4,3.5,2.4,1,Oil Recovery & Re-refining
Industrial_Cleaner,7.5,5.1,7.6,4.4,3.1,5.1,1,Hazardous Liquid Treatment Plant
Automotive_Fluid,7.2,2.1,3.1,2.4,3.4,4,1,Oil Recovery & Re-refining
Pharmaceutical_Liquid,9.5,1.2,3.6,2.1,5.9,5.4,1,Secure Liquid Waste Landfill
Acid,3.2,0,4.5,4.8,9.6,7.1,1,Secure Liquid Waste Landfill
Disinfectant,6,5.8,8.6,2.3,2.1,7.9,0,Hazardous Liquid Treatment Plant
Pharmaceutical_Liquid,10.2,2,3.2,2.4,0.3,3.2,1,Secure Liquid Waste Landfill
Pharmaceutical_Liquid,5,1.5,3.9,3.5,6.1,3,0,Secure Liquid Waste Landfill
Fuel_Residue,9,8.6,3.9,4.3,0.8,5.8,1,Solvent Recovery & Controlled Incineration
Solvent,9.3,10,0.9,3.1,2,3.8,1,Solvent Recovery & Controlled Incineration
Acid,0.3,5.4,6.8,1.9,6,5.9,1,Chemical Neutralization
Pharmaceutical_Liquid,7.4,0,7.1,6.6,1.8,4.2,0,Hazardous Liquid Treatment Plant
Solvent,7.6,8.4,5.3,7,2.6,3.4,0,Solvent Recovery & Controlled Incineration
Solvent,8.8,5.3,2.3,3,4.4,2.9,1,Secure Liquid Waste Landfill
Acid,1.9,5.4,9.1,1.9,7.7,7.1,1,Chemical Neutralization
Fuel_Residue,8.2,7.7,5.2,5.2,4.6,6,0,Solvent Recovery & Controlled Incineration
Pesticide,9,6.1,8.2,4,2.3,3.3,1,Secure Toxic Chemical Disposal
Laboratory_Chemical,7.7,2.2,7.6,10,3.4,5.1,0,Chemical Stabilization
Industrial_Cleaner,12.2,7.3,6.1,3.4,3.5,8.2,1,Chemical Neutralization
Laboratory_Chemical,8.2,3.4,7.3,7.5,5.1,2.9,1,Chemical Stabilization
Automotive_Fluid,9.4,0,2.9,3.8,6.1,4.9,1,Oil Recovery & Re-refining
Disinfectant,5.9,6.8,1.1,0,3.9,4,1,Secure Liquid Waste Landfill
Industrial_Cleaner,8.9,4.4,6.8,1.9,0.4,6.7,0,Hazardous Liquid Treatment Plant
Automotive_Fluid,8.3,2.8,7.7,0.9,0,3.6,1,Oil Recovery & Re-refining
Pharmaceutical_Liquid,6.9,3.5,3.5,3.7,0.5,7.9,0,Secure Liquid Waste Landfill
Disinfectant,6.8,5.2,4.7,3.9,4.1,5.9,0,Secure Liquid Waste Landfill
Alkali,11.6,5.7,4.4,4.4,7.2,7.9,1,Chemical Neutralization
Acid,1.8,6.6,3.9,0.1,9.6,3.6,0,Chemical Neutralization
Industrial_Cleaner,9.5,0,6.8,0,0,6.5,1,Hazardous Liquid Treatment Plant
Industrial_Cleaner,8.2,2.9,6,0.7,6,6.8,1,Secure Liquid Waste Landfill
Pharmaceutical_Liquid,7.4,0,3.5,1.6,1,4.4,1,Secure Liquid Waste Landfill
Pesticide,10.6,4.3,6.9,4.1,5.8,6.8,1,Secure Toxic Chemical Disposal
Solvent,10.6,9.3,4.8,4.4,1.8,7.2,0,Solvent Recovery & Controlled Incineration
Disinfectant,9.6,3.4,8.2,1.6,6.5,5.4,1,Hazardous Liquid Treatment Plant
Pharmaceutical_Liquid,5.7,2,3.4,3.8,4,3.9,1,Secure Liquid Waste Landfill
Liquid_Paint,7,10,7.5,3.9,3.1,5.2,1,Solvent Recovery & Controlled Incineration
Fuel_Residue,6,8.3,6.2,2.8,4.9,6.7,1,Solvent Recovery & Controlled Incineration
Solvent,4.5,5,4.4,5.1,6.4,4.1,0,Secure Liquid Waste Landfill
Acid,0,1.9,5.6,3.4,10,2.5,1,Chemical Neutralization
Solvent,7.8,7.4,4.6,2.4,0,4.9,1,Solvent Recovery & Controlled Incineration
Pesticide,8.5,0,10,0,2.3,2.8,1,Secure Toxic Chemical Disposal
Solvent,8.6,4.7,6.2,1.6,0,4.5,1,Hazardous Liquid Treatment Plant
Acid,2.3,0.4,6,2,6,4.1,1,Chemical Neutralization
Pesticide,6.3,2.3,8.5,7.2,3.8,5.9,1,Advanced Hazardous Chemical Treatment Facility
Laboratory_Chemical,6.4,3.8,6.4,7.8,3.1,3.6,0,Chemical Stabilization
Industrial_Cleaner,9,0.9,7.6,3.9,1.8,5,1,Hazardous Liquid Treatment Plant
Industrial_Cleaner,10.6,3.9,6,5.2,0,10,1,Secure Liquid Waste Landfill
Fuel_Residue,5.1,8.6,4.6,1.7,5.1,4.7,1,Solvent Recovery & Controlled Incineration
Automotive_Fluid,8.7,4,4.3,3.7,7.8,4.9,1,Oil Recovery & Re-refining
Laboratory_Chemical,7.4,5.1,10,10,4.3,2.7,1,Advanced Hazardous Chemical Treatment Facility
Laboratory_Chemical,7.6,1.5,8.3,8.8,3.6,5.8,0,Advanced Hazardous Chemical Treatment Facility
Disinfectant,6.5,4.9,6.4,0.5,4.2,6.4,0,Hazardous Liquid Treatment Plant
Solvent,6.4,10,3.7,3.3,2.7,5,0,Solvent Recovery & Controlled Incineration
Industrial_Cleaner,7.2,0,4.7,6.1,0,4.4,1,Secure Liquid Waste Landfill
Acid,1.7,1.6,6.2,6.1,4.1,3.6,1,Chemical Neutralization
Oil,6.1,3,1.7,0,5.9,5.4,1,Oil Recovery & Re-refining
Oil,9.8,4.1,5.2,4.7,4.5,9,1,Oil Recovery & Re-refining
Pesticide,6.6,4.1,8.5,1.1,1.3,3,0,Secure Toxic Chemical Disposal
Industrial_Cleaner,10.2,5.8,8.1,0,1,6.9,1,Hazardous Liquid Treatment Plant
Industrial_Cleaner,11.2,1.1,6.7,0.3,1.8,5.6,1,Chemical Neutralization
Fuel_Residue,7,10,4.4,5.7,3.3,4.1,0,Solvent Recovery & Controlled Incineration
Oil,9.4,3.8,3.4,3.8,4,6.2,1,Oil Recovery & Re-refining
Industrial_Cleaner,7.8,1.6,4.8,4.8,2.4,7.5,1,Secure Liquid Waste Landfill
Fuel_Residue,5.3,10,1.6,3.6,4.3,5.8,0,Solvent Recovery & Controlled Incineration
Solvent,9.4,10,0.9,3.5,5.9,1.6,1,Solvent Recovery & Controlled Incineration
Liquid_Paint,5.4,10,7.4,1.9,4.1,8.3,1,Solvent Recovery & Controlled Incineration
Disinfectant,4.8,1.6,2.8,2.6,1.5,5.1,0,Secure Liquid Waste Landfill
Alkali,9.7,4.4,6.1,3.2,8.9,9.2,1,Hazardous Liquid Treatment Plant
Laboratory_Chemical,8.4,6.9,6.8,10,3.2,3.6,1,Chemical Stabilization
Automotive_Fluid,5,4.3,2.2,3.2,6.2,4.4,1,Oil Recovery & Re-refining
Pesticide,9.6,0.6,8.6,0.2,3.1,6.6,1,Secure Toxic Chemical Disposal
Liquid_Paint,11.6,9.4,4.4,2.4,3.3,4.7,1,Chemical Neutralization
Disinfectant,4.9,1.2,2.6,2.5,3.2,6.4,1,Secure Liquid Waste Landfill
Disinfectant,5.3,0,8.3,0.7,4.7,5.1,1,Hazardous Liquid Treatment Plant
Disinfectant,7.5,3,3.2,3.9,2.1,7.3,0,Secure Liquid Waste Landfill
Disinfectant,8.1,4.2,3,2.5,0.6,4.3,1,Secure Liquid Waste Landfill
Oil,4.9,5.6,4.1,3.3,2.5,10,1,Oil Recovery & Re-refining
Fuel_Residue,6.9,9.4,6.8,4.1,3,2.4,1,Solvent Recovery & Controlled Incineration
Laboratory_Chemical,6.3,1,8.9,8.1,0,3.7,0,Advanced Hazardous Chemical Treatment Facility
Industrial_Cleaner,9.7,1.4,8.6,0.4,1.1,5.8,1,Hazardous Liquid Treatment Plant
Disinfectant,5.6,2.9,2.9,2.2,2.3,3.6,0,Secure Liquid Waste Landfill
Automotive_Fluid,7.6,1.7,4,1.5,0,6.8,1,Oil Recovery & Re-refining
Industrial_Cleaner,10.4,7.6,4.6,2.6,2.7,7,0,Secure Liquid Waste Landfill
Acid,5,2.4,5.8,4.5,7,4.7,1,Secure Liquid Waste Landfill
Acid,4.1,1.4,4.2,0.8,6.4,4.9,1,Secure Liquid Waste Landfill
Automotive_Fluid,4.6,2.9,6.3,1.3,0,4.1,1,Oil Recovery & Re-refining
Fuel_Residue,5.3,3.3,4.6,3.4,5.3,2.8,0,Secure Liquid Waste Landfill
Automotive_Fluid,8.4,2,8.3,1.8,4.5,5.6,1,Oil Recovery & Re-refining
Oil,9.6,6.1,4.1,1.5,3.9,7.7,1,Oil Recovery & Re-refining
Automotive_Fluid,6.5,3.2,4.5,2.1,1.4,7.6,1,Oil Recovery & Re-refining
Solvent,5,4.5,5.4,5.3,2.1,4.1,0,Secure Liquid Waste Landfill
Industrial_Cleaner,11.8,4.4,8.2,1.5,0.2,8,1,Chemical Neutralization
Liquid_Paint,9.7,10,4.9,7.3,1.7,6.9,1,Solvent Recovery & Controlled Incineration
Pharmaceutical_Liquid,9.9,6.6,5.5,4.2,1.3,5.7,1,Secure Liquid Waste Landfill
Fuel_Residue,8.1,7.8,2.8,0.4,0,1.1,0,Solvent Recovery & Controlled Incineration
Automotive_Fluid,6.6,2.4,4.6,4.6,4.7,3.8,0,Oil Recovery & Re-refining
Pesticide,6.7,3.6,9.1,6.2,4,6.5,1,Advanced Hazardous Chemical Treatment Facility
Acid,0,4,4.7,3.1,9.3,4.8,1,Chemical Neutralization
Solvent,7.1,5,5,4.4,7.6,7.2,1,Secure Liquid Waste Landfill
Laboratory_Chemical,8.1,0,9.4,8.1,5.6,6.3,1,Advanced Hazardous Chemical Treatment Facility
